Country,Sector,Direct Impact,Indirect Impact,Total Impact,Multiplier Type,Unit of Measure
USA,USA_A01_02,1.21798551,0.765886788,1.983872298,Output Multiplier,Dimensionless
USA,USA_A03,1.004259149,0.635157285,1.639416434,Output Multiplier,Dimensionless
USA,USA_B05_06,1.092302737,1.073949852,2.166252589,Output Multiplier,Dimensionless
USA,USA_B07_08,1.054571343,1.113497352,2.168068694,Output Multiplier,Dimensionless
USA,USA_B09,1.008892217,0.342418194,1.351310411,Output Multiplier,Dimensionless
USA,USA_C10T12,1.170564119,0.254905085,1.425469203,Output Multiplier,Dimensionless
USA,USA_C13T15,1.040777987,0.496474734,1.537252721,Output Multiplier,Dimensionless
USA,USA_C16,1.192226469,1.12731538,2.319541848,Output Multiplier,Dimensionless
USA,USA_C17_18,1.145129886,1.190099298,2.335229184,Output Multiplier,Dimensionless
USA,USA_C19,1.014910474,0.781733602,1.796644076,Output Multiplier,Dimensionless
USA,USA_C20,1.175885996,0.847599585,2.023485581,Output Multiplier,Dimensionless
USA,USA_C21,1.096343803,0.145419417,1.24176322,Output Multiplier,Dimensionless
USA,USA_C22,1.058129162,1.031526795,2.089655957,Output Multiplier,Dimensionless
USA,USA_C23,1.086616427,1.137640688,2.224257115,Output Multiplier,Dimensionless
USA,USA_C24,1.274462315,1.255345594,2.52980791,Output Multiplier,Dimensionless
USA,USA_C25,1.09561466,1.079197749,2.174812409,Output Multiplier,Dimensionless
USA,USA_C26,1.033684845,0.401580355,1.4352652,Output Multiplier,Dimensionless
USA,USA_C27,1.038471336,0.650049892,1.688521228,Output Multiplier,Dimensionless
USA,USA_C28,1.051154763,0.451228843,1.502383606,Output Multiplier,Dimensionless
USA,USA_C29,1.198929363,0.220409156,1.419338519,Output Multiplier,Dimensionless
USA,USA_C30,1.173866093,0.268515557,1.44238165,Output Multiplier,Dimensionless
USA,USA_C31T33,1.015525679,0.485530774,1.501056452,Output Multiplier,Dimensionless
USA,USA_D,1.038177516,0.999622629,2.037800145,Output Multiplier,Dimensionless
USA,USA_E,1.059895003,0.941839099,2.001734102,Output Multiplier,Dimensionless
USA,USA_F,1.004333721,0.240110361,1.244444082,Output Multiplier,Dimensionless
USA,USA_G,1.065088392,0.590227894,1.655316286,Output Multiplier,Dimensionless
USA,USA_H49,1.048694116,0.943910836,1.992604952,Output Multiplier,Dimensionless
USA,USA_H50,1.001006072,0.587300671,1.588306743,Output Multiplier,Dimensionless
USA,USA_H51,1.001884554,0.605195343,1.607079898,Output Multiplier,Dimensionless
USA,USA_H52,1.086257391,1.529880307,2.616137698,Output Multiplier,Dimensionless
USA,USA_H53,1.026898053,1.53827146,2.565169512,Output Multiplier,Dimensionless
USA,USA_I,1.010674875,0.38110538,1.391780256,Output Multiplier,Dimensionless
USA,USA_J58T60,1.133088504,0.544015685,1.677104189,Output Multiplier,Dimensionless
USA,USA_J61,1.109438831,0.75355742,1.862996251,Output Multiplier,Dimensionless
USA,USA_J62_63,1.056993766,0.84638587,1.903379636,Output Multiplier,Dimensionless
USA,USA_K,1.359375203,0.715444556,2.074819759,Output Multiplier,Dimensionless
